Assemblage,Diversity,Observed,Estimator,s.e.,LCL,UCL
007C6_2020,Shannon diversity,21.289378308380115,25.192156593735177,1.983440873083095,21.30468391702763,29.079629270442723
007C6_2020,Simpson diversity,12.659414853713425,13.354531001589827,1.2372758151766505,10.929514964901156,15.779547038278498
007CQ_2020,Species richness,74,129.93893129770993,20.551945948225807,89.65785742697346,170.2200051684464
007CQ_2020,Shannon diversity,22.41316747217973,24.066135907243172,1.2379001259182512,21.639896243985802,26.492375570500542
007CQ_2020,Simpson diversity,12.071505476679251,12.219196415582948,0.647078423035284,10.950946011260818,13.487446819905077
007F5_2019,Species richness,52,72.58923933209647,17.35590670070098,52,106.60619138450778
007F5_2019,Shannon diversity,24.890151979902466,27.539548626131324,1.7226491981968446,24.16321823966871,30.91587901259394
007F5_2019,Simpson diversity,14.394969408565604,14.915254237288096,1.216404276721159,12.531145664274131,17.29936281030206
007R5_2019,Species richness,74,94.15108191653786,14.162619253959358,74,121.90930558105173
007R5_2019,Shannon diversity,21.583079944283824,22.458991156181828,0.8839419003183538,20.72649686713196,24.191485445231695
007R5_2019,Simpson diversity,12.789178619983806,12.906859417427851,0.5158100003796718,11.895890393818103,13.9178284410376
007V7_2019,Species richness,60,91.9438596491228,16.750633347801603,60,124.77449772904953
007V7_2019,Shannon diversity,27.349877449414436,29.658947064638003,1.5687382162094496,26.584276659695874,32.73361746958013
007V7_2019,Simpson diversity,16.649584913395508,17.12046030405408,1.0995938449587064,14.965295970313097,19.275624637795065
007XH_2019,Species richness,59,76.96923076923076,12.666934610482908,59,101.79596640030115
007XH_2019,Shannon diversity,27.307527389496453,29.331498632359935,1.4163329315793027,26.555537096346466,32.1074601683734
007XH_2019,Simpson diversity,18.76953874842319,19.358567543064318,0.9804384637220701,17.43694346511128,21.280191621017355
007XH_2020,Species richness,55,73.72983870967742,12.388174195361415,55,98.01021396679425
007XH_2020,Shannon diversity,17.056609022269484,17.789716812139805,0.7760690441356421,16.26864943611752,19.31078418816209
007XH_2020,Simpson diversity,9.375406495252133,9.460699502858038,0.44664087720331686,8.58529946951616,10.336099536199916
00MBG_2019,Species richness,51,64.97701149425288,11.281131660551662,51,87.08762325378866
00MBG_2019,Shannon diversity,19.54424442851583,20.70343631431241,1.1272168863657965,18.49413181427007,22.91274081435475
00MBG_2019,Simpson diversity,11.944253003123892,12.16319558504695,0.7111865928179227,10.769295476836069,13.55709569325783
00MBG_2020,Species richness,49,66.95135135135135,16.364483497152484,49,99.02514963137028
00MBG_2020,Shannon diversity,20.075795096457654,22.17172263353317,1.548250332664907,19.137207742457797,25.206237524608547
00MBG_2020,Simpson diversity,11.537165009270181,11.876304801670106,1.0635056146767348,9.791872099547573,13.960737503792638
00MDP_2019,Species richness,59,75.0371643120784,12.221804923820349,59,98.99146178884058
00MDP_2019,Shannon diversity,16.980234129674297,17.792627594830407,0.8740925173076756,16.07943774175141,19.505817447909404
00MDP_2019,Simpson diversity,9.204123039020324,9.291541559868136,0.5619588605036696,8.190122432487776,10.392960687248497
00MJ8_2019,Species richness,52,75.10138248847926,12.730591538413853,52,100.05288340566076
00MJ8_2019,Shannon diversity,14.083090504937564,15.134979235757646,1.0008330970262138,13.173382411050586,17.096576060464706
00MJ8_2019,Simpson diversity,6.488642520735215,6.553217508644689,0.4986990155247248,5.575785399090647,7.530649618198731
00MJ9_2019,Species richness,54,70.04512508767829,10.056563101243853,54,89.75562657437067
00MJ9_2019,Shannon diversity,20.976909310198803,22.31168067085873,1.1313193257075809,20.094335537457734,24.529025804259728
00MJ9_2019,Simpson diversity,12.220400013093721,12.449395417195541,0.793842084782908,10.89349352160885,14.005297312782233
00MJC_2019,Species richness,58,83.75490698071343,18.356856778582188,58,119.73368513609446
00MJC_2019,Shannon diversity,12.533677980993604,13.218152824662823,0.8076492848372399,11.635189314242302,14.801116335083345
00MJC_2019,Simpson diversity,5.550336314876289,5.580712052574482,0.32431814452104474,4.945060169780378,6.216363935368586
00MJC_2020,Species richness,46,72.92913385826772,17.37322557001289,46,106.98003027078333
00MJC_2020,Shannon diversity,20.701231124522884,22.891931069272008,1.582659019567697,19.78997639111185,25.993885747432167
00MJC_2020,Simpson diversity,13.884361549497845,14.371649791542563,1.0023118489838756,12.407154666256416,16.336144916828708
00NCQ_2019,Species richness,71,83.78805970149254,13.567651399437837,71,110.38016779918516
00NCQ_2019,Shannon diversity,21.137993026486498,22.051583367670627,1.0301960472151543,20.0324362181134,24.070730517227855
00NCQ_2019,Simpson diversity,9.640967130320979,9.719384386163933,0.6324643444723544,8.479777049492384,10.958991722835481
00NCQ_2020,Species richness,75,91.18133640552995,14.025849372967796,75,118.67149602913052
00NCQ_2020,Shannon diversity,29.712635442373465,31.45063830781089,1.4653624199675264,28.578580740376083,34.3226958752457
00NCQ_2020,Simpson diversity,16.6194026558433,16.924301713668896,1.0147400911987925,14.935447681250373,18.91315574608742
00VTR_2019,Species richness,52,66.20875420875421,7.62209668977297,52,81.1477892073912
00VTR_2019,Shannon diversity,6.3420643433416695,6.563621867878061,0.3666001137872683,5.84509884812673,7.282144887629393
00VTR_2019,Simpson diversity,2.7063911580970683,2.7107756544082253,0.12536436458222094,2.4650660148823236,2.956485293934127
00WV0_2019,Species richness,59,77.03835227272728,12.918643004381153,59,102.35842729044465
00WV0_2019,Shannon diversity,22.115218775125744,23.379788096506747,1.0437698677108604,21.334036747645325,25.42553944536817
00WV0_2019,Simpson diversity,13.584810372456658,13.817597309461416,0.7112786848219039,12.423516704239468,15.211677914683364
00WV0_2020,Species richness,49,66.94375,12.710021250838047,49,91.85493389438129
00WV0_2020,Shannon diversity,24.131209291856386,27.06701585082199,1.9215781023355814,23.300791976763428,30.83323972488055
00WV0_2020,Simpson diversity,15.950155763239872,16.734426229508205,1.3654126499000157,14.058266611668778,19.410585847347633
00WY5_2019,Species richness,48,68.5881015536188,16.779278530497198,48,101.47488315995946
00WY5_2019,Shannon diversity,21.64121676046601,23.867192998816574,1.4320517162968802,21.060423210875918,26.67396278675723
00WY5_2019,Simpson diversity,13.496249169119741,13.960212724049612,1.014021062165728,11.972767962639734,15.947657485459489
00XMV_2019,Species richness,44,65.08108108108108,19.235503326112934,44,102.78197482476284
00XMV_2019,Shannon diversity,12.887490531051661,13.821768749127129,1.0628703830744357,11.738581078066945,15.904956420187313
00XMV_2019,Simpson diversity,5.904325634809238,5.965274906986347,0.5330526942810545,4.920510824333441,7.010038989639254
00XX7_2019,Species richness,60,90.19126213592233,15.040801331689819,60.71183322718821,119.67069104465645
00XX7_2019,Shannon diversity,20.13005438833015,22.100658654224567,1.4527396502395509,19.253341260841733,24.9479760476074
00XX7_2019,Simpson diversity,10.51603822211649,10.714401359993522,0.7412873186443136,9.2615049132544,12.167297806732643
00XXK_2020,Species richness,45,64.91266375545851,12.581947082288515,45,89.57282689213281
00XXK_2020,Shannon diversity,20.896694721649038,24.457067104249774,2.0078939834999145,20.52166721181528,28.392466996684266
00XXK_2020,Simpson diversity,13.152997241033358,13.893560404470437,1.263092659478799,11.417944282755075,16.369176526185797
00XYF_2019,Species richness,53,73.60918200885574,11.694043526129821,53,96.52908615371396
00XYF_2019,Shannon diversity,19.51924660890006,20.81813404246274,1.1665327495602669,18.531771866538136,23.104496218387347
00XYF_2019,Simpson diversity,11.997350020752847,12.21688159437278,0.7164026282769842,10.812758244520055,13.621004944225504
0129G_2019,Species richness,45,58.96690307328605,12.973950475200724,45,84.39537874188578
0129G_2019,Shannon diversity,18.080968988782015,19.502038109720985,1.3271578428713642,16.900856535893244,22.103219683548726
0129G_2019,Simpson diversity,10.712386996347963,10.964742014742022,0.7650691093875948,9.465234114658202,12.464249914825842
0129G_2020,Species richness,23,31.92857142857143,12.324677571133847,23,56.08449558906236
0129G_2020,Shannon diversity,16.554379114856307,18.853710220490466,1.6792270166727434,15.562485745945251,22.144934695035683
0129G_2020,Simpson diversity,13.2742474916388,14.719626168224297,1.7189159409234185,11.35061283156262,18.088639504885975
01DBS_2020,Species richness,28,35.08661417322835,19.449563203408747,28,73.20705756694497
01DBS_2020,Shannon diversity,17.568660507792508,20.463295851072335,2.0877566471248534,16.371368014223524,24.555223687921146
01DBS_2020,Simpson diversity,13.1665306122449,14.573770491803261,1.641165378487812,11.357145457293104,17.790395526313418
Arena Hill Prairie_2020,Species richness,61,70.36028257456829,7.6904109710002215,61,85.43321110404042
Arena Hill Prairie_2020,Shannon diversity,19.861932436394603,21.100526405429548,1.2187138200890264,18.71189121059383,23.489161600265266
Arena Hill Prairie_2020,Simpson diversity,10.529335443859145,10.689498680738774,0.634070240543664,9.446743845604544,11.932253515873004
Black Earth Rettenmund_2020,Species richness,68,101.0101030110935,17.14380963427859,68,134.61135245209033
Black Earth Rettenmund_2020,Shannon diversity,28.60038799309174,31.126499030750573,1.5195235357553722,28.148287627009083,34.10471043449206
Black Earth Rettenmund_2020,Simpson diversity,16.94806963776444,17.388242498469083,1.0606868310226454,15.309334510788778,19.46715048614939
Faville_2020,Species richness,31,59.56,29.636718798595457,31,117.64690146518826
Faville_2020,Shannon diversity,21.40085597557801,30.75234136717478,5.12625283518173,20.70507043457225,40.79961229977731
Faville_2020,Simpson diversity,16.45785876993166,20.169491525423766,2.895153265249933,14.495095395810358,25.84388765503717
John Muir County Park_2020,Species richness,60,78.03574074074074,13.317512944326378,60,104.1375864752664
John Muir County Park_2020,Shannon diversity,23.318662427324064,24.820088625319233,1.3357880757579186,22.201992105855652,27.438185144782814
John Muir County Park_2020,Simpson diversity,13.269986893840104,13.516042780748704,0.9766040327153324,11.601934049470076,15.430151512027331
Oliver Prairie_2020,Species richness,27,43.06111111111111,11.694238164349263,27,65.98139673986945
Oliver Prairie_2020,Shannon diversity,19.748603146199017,29.290092356149394,3.9008697282618807,21.644528180373563,36.935656531925225
Oliver Prairie_2020,Simpson diversity,14.062500000000002,18.06122448979589,3.3694309556329753,11.457261168360883,24.665187811230897
Pleasant Valley Conservancy_2020,Species richness,56,59.56363069245165,7.031539213638189,56,73.3451943070636
Pleasant Valley Conservancy_2020,Shannon diversity,21.28844976725627,22.833197977813995,1.6531683319470731,19.593047586815576,26.073348368812415
Pleasant Valley Conservancy_2020,Simpson diversity,10.207493917274938,10.417380051761905,1.0068263239539312,8.444036718125343,12.390723385398466
Westport Drumlin_2020,Species richness,74,130.15985576923077,21.591489546748498,87.84131388503066,172.47839765343087
Westport Drumlin_2020,Shannon diversity,27.317856528754525,30.37668914021165,1.943396138994953,26.567702700087345,34.18567558033595
Westport Drumlin_2020,Simpson diversity,14.532208703441066,14.854871990829187,1.114434016465788,12.670621455409925,17.03912252624845
