Site,Diversity,Observed,Estimator,s.e.,LCL,UCL
007V7_2019,Simpson diversity,16.65,17.12,1.07,16.65,19.217
007R5_2019,Species richness,74,94.151,11.306,81.228,130.181
007R5_2019,Shannon diversity,21.583,22.459,0.783,21.583,23.994
007R5_2019,Simpson diversity,12.789,12.907,0.499,12.789,13.885
007F5_2019,Species richness,52,72.589,13.45,58.4,118.233
007F5_2019,Shannon diversity,24.89,27.54,1.767,24.89,31.003
007F5_2019,Simpson diversity,14.395,14.915,1.215,14.395,17.297
007CQ_2020,Species richness,74,129.939,30.822,94.391,227.461
007CQ_2020,Shannon diversity,22.413,24.066,1.292,22.413,26.599
007CQ_2020,Simpson diversity,12.072,12.219,0.655,12.072,13.504
007C6_2019,Species richness,64,80.036,10.253,69.091,114.514
007C6_2019,Shannon diversity,19.638,20.679,1.003,19.638,22.644
007C6_2019,Simpson diversity,9.338,9.432,0.649,9.338,10.703
007C6_2020,Species richness,45,70.671,16.08,53.313,124.278
007C6_2020,Shannon diversity,21.289,25.192,2.51,21.289,30.112
007C6_2020,Simpson diversity,12.659,13.355,1.439,12.659,16.175
007BY_2019,Species richness,48,55.188,5.438,49.923,74.869
007BY_2019,Shannon diversity,16.883,17.786,1.031,16.883,19.806
007BY_2019,Simpson diversity,8.823,8.944,0.642,8.823,10.202
0078S_2019,Species richness,46,71.715,16.106,54.328,125.408
0078S_2019,Shannon diversity,18.272,20.289,1.405,18.272,23.042
0078S_2019,Simpson diversity,11.283,11.61,0.894,11.283,13.363
0078S_2020,Species richness,68,86.041,11.632,73.681,125.299
0078S_2020,Shannon diversity,25.428,26.835,1.246,25.428,29.278
0078S_2020,Simpson diversity,14.127,14.347,0.848,14.127,16.008
0078F_2020,Species richness,56,64.987,6.783,58.41,89.508
0078F_2020,Shannon diversity,17.248,18.141,1.01,17.248,20.121
0078F_2020,Simpson diversity,7.908,7.987,0.576,7.908,9.116
0077R_2019,Species richness,53,59.045,4.795,54.537,76.771
0077R_2019,Shannon diversity,14.817,15.178,0.531,14.817,16.219
0077R_2019,Simpson diversity,9.783,9.849,0.301,9.783,10.438
00792_2019,Species richness,74,113.018,21.746,88.078,182.139
00792_2019,Shannon diversity,20.954,22.406,1.269,20.954,24.893
00792_2019,Simpson diversity,8.826,8.905,0.602,8.826,10.084
