EasementID,Month,Day,Sample,Year,Family,Total
0077R,8,13,T2,2019,Chrysomelidae,5
0077R,8,13,T2,2019,Cicadellidae,64
0077R,8,13,T2,2019,COLUNK,1
0077R,8,13,T2,2019,DIPUNK,3
0077R,8,13,T2,2019,Dolichopodidae,1
0077R,8,13,T2,2019,Encyrtidae,2
0077R,8,13,T2,2019,Eucinetidae,1
0077R,8,13,T2,2019,Eulophidae,1
0077R,8,13,T2,2019,Formicidae,15
0077R,8,13,T2,2019,Latridiidae,1
0077R,8,13,T2,2019,LEPUNK,5
0077R,8,13,T2,2019,Miridae,5
0077R,8,13,T2,2019,Nitidulidae,5
0077R,8,13,T2,2019,Noctuidae,1
0077R,8,13,T2,2019,Phalacridae,5
0077R,8,13,T2,2019,Phlaeothripidae,1
0077R,8,13,T2,2019,Phoridae,3
0077R,8,13,T2,2019,Platygastridae,4
0077R,8,13,T2,2019,Psyllidae,4
0077R,8,13,T2,2019,Pteromalidae,5
0077R,8,13,T2,2019,Reduviidae,1
0077R,8,13,T2,2019,Tettigoniidae,1
0077R,8,13,T3,2019,Acrididae,3
0077R,8,13,T3,2019,Aphididae,2
0077R,8,13,T3,2019,Chloropidae,14
0077R,8,13,T3,2019,Cicadellidae,9
0077R,8,13,T3,2019,COLUNK,4
0077R,8,13,T3,2019,Culicidae,1
0077R,8,13,T3,2019,DIPUNK,1
0077R,8,13,T3,2019,Eulophidae,16
0077R,8,13,T3,2019,Eurytomidae,2
0077R,8,13,T3,2019,Figitidae,2
0077R,8,13,T3,2019,Halictidae,1
0077R,8,13,T3,2019,HEMUNK,1
0077R,8,13,T3,2019,Ichneumonidae,1
0077R,8,13,T3,2019,Lampyridae,1
0077R,8,13,T3,2019,Miridae,1
0077R,8,13,T3,2019,Muscidae,1
0077R,8,13,T3,2019,Nitidulidae,1
0077R,8,13,T3,2019,Phalacridae,12
0077R,8,13,T3,2019,Phlaeothripidae,1
0077R,8,13,T3,2019,Phoridae,5
0077R,8,13,T3,2019,Platygastridae,3
0077R,8,13,T3,2019,Reduviidae,1
0077R,8,13,T3,2019,Sepsidae,2
0077R,8,13,T3,2019,Sphaeroceridae,1
0077R,8,13,T3,2019,Thripidae,4
0077R,8,13,T3,2019,Ulidiidae,1
0078F,7,22,T1,2020,Acrididae,2
0078F,7,22,T1,2020,Chironomidae,1
0078F,7,22,T1,2020,Chloropidae,20
0078F,7,22,T1,2020,Chrysomelidae,129
0078F,7,22,T1,2020,Cicadellidae,4
0078F,7,22,T1,2020,Cixiidae,1
0078F,7,22,T1,2020,DIPUNK,2
0078F,7,22,T1,2020,Dolichopodidae,2
0078F,7,22,T1,2020,Eulophidae,3
0078F,7,22,T1,2020,Eurytomidae,1
0078F,7,22,T1,2020,Formicidae,6
0078F,7,22,T1,2020,Halictidae,3
0078F,7,22,T1,2020,Ichneumonidae,1
0078F,7,22,T1,2020,LEPUNK,1
0078F,7,22,T1,2020,Mantidae,1
0078F,7,22,T1,2020,Membracidae,1
0078F,7,22,T1,2020,Phalacridae,1
0078F,7,22,T1,2020,Platygastridae,8
0078F,7,22,T1,2020,Sarcophagidae,1
0078F,7,22,T1,2020,Scatopsidae,1
0078F,7,22,T1,2020,Sciomyzidae,1
0078F,7,22,T1,2020,Thripidae,1
0078F,7,22,T1,2020,Ulidiidae,1
0078F,7,22,T2,2020,Acrididae,3
0078F,7,22,T2,2020,Anthicidae,1
0078F,7,22,T2,2020,Aphididae,1
0078F,7,22,T2,2020,Aphrophoridae,1
0078F,7,22,T2,2020,Baetidae,1
0078F,7,22,T2,2020,Cercopidae,1
0078F,7,22,T2,2020,Chironomidae,2
0078F,7,22,T2,2020,Chloropidae,5
0078F,7,22,T2,2020,Chrysomelidae,16
0078F,7,22,T2,2020,Cicadellidae,1
0078F,7,22,T2,2020,Eulophidae,4
0078F,7,22,T2,2020,Formicidae,3
0078F,7,22,T2,2020,Gryllidae,2
0078F,7,22,T2,2020,Halictidae,1
0078F,7,22,T2,2020,LEPUNK,3
0078F,7,22,T2,2020,Membracidae,11
0078F,7,22,T2,2020,Muscidae,1
0078F,7,22,T2,2020,Pteromalidae,3
0078F,7,22,T2,2020,Scatopsidae,3
0078F,7,22,T2,2020,Sciomyzidae,1
0078F,7,22,T2,2020,Tetrigidae,1
0078F,7,22,T2,2020,Tettigoniidae,8
0078F,7,22,T2,2020,Ulidiidae,1
0078F,7,22,T3,2020,Acrididae,1
0078F,7,22,T3,2020,Aeolothripidae,3
0078F,7,22,T3,2020,Aphididae,2
0078F,7,22,T3,2020,Baetidae,1
0078F,7,22,T3,2020,Chironomidae,2
0078F,7,22,T3,2020,Chloropidae,7
0078F,7,22,T3,2020,Chrysomelidae,4
0078F,7,22,T3,2020,Cicadellidae,5
0078F,7,22,T3,2020,Cixiidae,3
0078F,7,22,T3,2020,Dolichopodidae,4
0078F,7,22,T3,2020,Eupelmidae,2
0078F,7,22,T3,2020,Formicidae,6
0078F,7,22,T3,2020,LEPUNK,1
0078F,7,22,T3,2020,Membracidae,1
0078F,7,22,T3,2020,Pteromalidae,5
0078F,7,22,T3,2020,Rhyparochromidae,3
0078F,7,22,T3,2020,Scatopsidae,3
0078F,7,22,T3,2020,Sciomyzidae,2
0078F,7,22,T3,2020,Sphaeroceridae,1
0078F,7,22,T3,2020,Tephritidae,1
0078F,7,22,T3,2020,Thripidae,1
0078F,8,26,T1,2020,Acrididae,2
0078F,8,26,T1,2020,Aphrophoridae,2
0078F,8,26,T1,2020,Blissidae,1
0078F,8,26,T1,2020,Cecidomyiidae,2
0078F,8,26,T1,2020,Chironomidae,7
0078F,8,26,T1,2020,Chloropidae,2
0078F,8,26,T1,2020,Chrysomelidae,5
0078F,8,26,T1,2020,Cicadellidae,6
0078F,8,26,T1,2020,Culicidae,2
0078F,8,26,T1,2020,Dolichopodidae,2
0078F,8,26,T1,2020,Eulophidae,1
0078F,8,26,T1,2020,Eurytomidae,4
0078F,8,26,T1,2020,Formicidae,7
0078F,8,26,T1,2020,Gryllidae,1
0078F,8,26,T1,2020,Halictidae,1
0078F,8,26,T1,2020,LEPUNK,1
0078F,8,26,T1,2020,Membracidae,4
0078F,8,26,T1,2020,Miridae,2
0078F,8,26,T1,2020,Mymaridae,1
0078F,8,26,T1,2020,Phalacridae,1
0078F,8,26,T1,2020,Phoridae,2
0078F,8,26,T1,2020,Pteromalidae,2
0078F,8,26,T1,2020,Sciomyzidae,1
0078F,8,26,T1,2020,Tettigoniidae,3
0078F,8,26,T1,2020,Thripidae,1
0078F,8,26,T2,2020,Acrididae,1
0078F,8,26,T2,2020,Anthocoridae,2
0078F,8,26,T2,2020,Aphididae,2
0078F,8,26,T2,2020,Cecidomyiidae,3
0078F,8,26,T2,2020,Chironomidae,3
0078F,8,26,T2,2020,Chloropidae,2
0078F,8,26,T2,2020,Chrysomelidae,44
0078F,8,26,T2,2020,Cicadellidae,3
0078F,8,26,T2,2020,Curculionidae,1
0078F,8,26,T2,2020,DIPUNK,1
0078F,8,26,T2,2020,Encyrtidae,1
0078F,8,26,T2,2020,Eulophidae,97
0078F,8,26,T2,2020,Formicidae,3
0078F,8,26,T2,2020,Heleomyzidae,5
0078F,8,26,T2,2020,HEMUNK,2
0078F,8,26,T2,2020,HYMUNK,3
0078F,8,26,T2,2020,LEPUNK,1
0078F,8,26,T2,2020,Membracidae,1
0078F,8,26,T2,2020,Miridae,2
0078F,8,26,T2,2020,Phalacridae,2
0078F,8,26,T2,2020,Phlaeothripidae,2
0078F,8,26,T2,2020,Platygastridae,13
0078F,8,26,T2,2020,Psyllidae,2
0078F,8,26,T2,2020,Scatopsidae,4
0078F,8,26,T2,2020,Sciomyzidae,1
0078F,8,26,T2,2020,Tettigoniidae,2
0078F,8,26,T2,2020,Thripidae,6
0078F,8,26,T3,2020,Acrididae,1
0078F,8,26,T3,2020,Aphididae,1
0078F,8,26,T3,2020,Cecidomyiidae,2
0078F,8,26,T3,2020,Chironomidae,6
0078F,8,26,T3,2020,Chloropidae,20
0078F,8,26,T3,2020,Chrysomelidae,7
0078F,8,26,T3,2020,Cicadellidae,5
0078F,8,26,T3,2020,Cixiidae,2
0078F,8,26,T3,2020,Culicidae,6
0078F,8,26,T3,2020,Dolichopodidae,2
0078F,8,26,T3,2020,Encyrtidae,1
0078F,8,26,T3,2020,Eulophidae,3
0078F,8,26,T3,2020,Formicidae,2
0078F,8,26,T3,2020,LEPUNK,2
0078F,8,26,T3,2020,Membracidae,1
0078F,8,26,T3,2020,Miridae,1
0078F,8,26,T3,2020,Mymaridae,1
0078F,8,26,T3,2020,Phalacridae,3
0078F,8,26,T3,2020,Phoridae,1
0078F,8,26,T3,2020,Psyllidae,1
0078F,8,26,T3,2020,Pteromalidae,14
0078F,8,26,T3,2020,Sciaridae,3
0078F,8,26,T3,2020,Sciomyzidae,6
0078F,8,26,T3,2020,Simuliidae,4
0078F,8,26,T3,2020,Syrphidae,1
0078F,8,26,T3,2020,Tettigoniidae,1
0078F,8,26,T3,2020,Torymidae,2
0078F,8,26,T3,2020,Ulidiidae,1
0078S,7,23,T1,2020,Acrididae,4
0078S,7,23,T1,2020,Agromyzidae,1
0078S,7,23,T1,2020,Aphididae,6
0078S,7,23,T1,2020,Asilidae,1
0078S,7,23,T1,2020,Chloropidae,16
0078S,7,23,T1,2020,Chrysomelidae,12
0078S,7,23,T1,2020,Cicadellidae,41
0078S,7,23,T1,2020,Culicidae,1
0078S,7,23,T1,2020,Curculionidae,1
0078S,7,23,T1,2020,Delphacidae,3
0078S,7,23,T1,2020,Dolichopodidae,1
0078S,7,23,T1,2020,Eulophidae,8
0078S,7,23,T1,2020,Formicidae,2
0078S,7,23,T1,2020,Halictidae,1
0078S,7,23,T1,2020,Ichneumonidae,1
0078S,7,23,T1,2020,Latridiidae,9
0078S,7,23,T1,2020,LEPUNK,1
0078S,7,23,T1,2020,Muscidae,11
0078S,7,23,T1,2020,Nabidae,1
0078S,7,23,T1,2020,Noctuidae,1
0078S,7,23,T1,2020,Phalacridae,3
0078S,7,23,T1,2020,Phoridae,1
0078S,7,23,T1,2020,Platygastridae,1
0078S,7,23,T1,2020,Psyllidae,1
0078S,7,23,T1,2020,Reduviidae,1
0078S,7,23,T1,2020,Scatopsidae,10
0078S,7,23,T1,2020,Sciomyzidae,1
0078S,7,23,T1,2020,Syrphidae,1
0078S,7,23,T1,2020,Tettigoniidae,1
0078S,7,23,T1,2020,Thripidae,1
0078S,7,23,T1,2020,Tingidae,1
0078S,7,23,T1,2020,Ulidiidae,1
0078S,7,23,T2,2020,Acrididae,8
0078S,7,23,T2,2020,Anthicidae,1
0078S,7,23,T2,2020,Anthomyiidae,1
0078S,7,23,T2,2020,Aphididae,20
0078S,7,23,T2,2020,Asilidae,2
0078S,7,23,T2,2020,Chloropidae,16
0078S,7,23,T2,2020,Chrysomelidae,66
0078S,7,23,T2,2020,Cicadellidae,20
0078S,7,23,T2,2020,Culicidae,2
0078S,7,23,T2,2020,Delphacidae,1
0078S,7,23,T2,2020,Dolichopodidae,1
0078S,7,23,T2,2020,Encyrtidae,1
0078S,7,23,T2,2020,Eulophidae,8
0078S,7,23,T2,2020,Formicidae,1
0078S,7,23,T2,2020,Latridiidae,2
0078S,7,23,T2,2020,LEPUNK,3
0078S,7,23,T2,2020,Muscidae,1
0078S,7,23,T2,2020,Nabidae,1
0078S,7,23,T2,2020,Platygastridae,3
0078S,7,23,T2,2020,Pteromalidae,9
0078S,7,23,T2,2020,Scarabaeidae,8
0078S,7,23,T2,2020,Scatopsidae,1
0078S,7,23,T2,2020,Sciomyzidae,2
0078S,7,23,T2,2020,Sepsidae,1
0078S,7,23,T2,2020,Thripidae,1
0078S,7,23,T2,2020,Thyreocoridae,1
0078S,7,23,T2,2020,Ulidiidae,3
0078S,7,23,T2,2020,UNKORD,2
0078S,7,23,T3,2020,Acrididae,21
0078S,7,23,T3,2020,Aphrophoridae,8
0078S,7,23,T3,2020,Braconidae,2
0078S,7,23,T3,2020,Chironomidae,6
0078S,7,23,T3,2020,Chloropidae,32
0078S,7,23,T3,2020,Chrysomelidae,8
0078S,7,23,T3,2020,Cicadellidae,7
0078S,7,23,T3,2020,Cixiidae,15
0078S,7,23,T3,2020,COLUNK,1
0078S,7,23,T3,2020,Curculionidae,1
0078S,7,23,T3,2020,Delphacidae,2
0078S,7,23,T3,2020,Dictyopharidae,2
0078S,7,23,T3,2020,Dolichopodidae,1
0078S,7,23,T3,2020,Empididae,1
0078S,7,23,T3,2020,Eulophidae,3
0078S,7,23,T3,2020,Eurytomidae,2
0078S,7,23,T3,2020,Figitidae,2
0078S,7,23,T3,2020,Formicidae,9
0078S,7,23,T3,2020,Halictidae,1
0078S,7,23,T3,2020,LEPUNK,8
0078S,7,23,T3,2020,Miridae,16
0078S,7,23,T3,2020,Mymaridae,1
0078S,7,23,T3,2020,Noctuidae,3
0078S,7,23,T3,2020,Pentatomidae,1
0078S,7,23,T3,2020,Phalacridae,3
0078S,7,23,T3,2020,Phlaeothripidae,4
0078S,7,23,T3,2020,Platygastridae,9
0078S,7,23,T3,2020,Psyllidae,3
0078S,7,23,T3,2020,Pteromalidae,1
0078S,7,23,T3,2020,Scarabaeidae,3
0078S,7,23,T3,2020,Simuliidae,2
0078S,7,23,T3,2020,Staphylinidae,2
0078S,7,23,T3,2020,Tephritidae,1
0078S,7,23,T3,2020,Tettigoniidae,2
0078S,7,25,T1,2019,Aphididae,7
0078S,7,25,T1,2019,Aphrophoridae,1
0078S,7,25,T1,2019,Brentidae,21
0078S,7,25,T1,2019,Ceratopogonidae,2
0078S,7,25,T1,2019,Chironomidae,1
0078S,7,25,T1,2019,Chloropidae,8
0078S,7,25,T1,2019,Chrysomelidae,12
0078S,7,25,T1,2019,Cicadellidae,8
0078S,7,25,T1,2019,Eulophidae,10
0078S,7,25,T1,2019,Eurytomidae,2
0078S,7,25,T1,2019,Figitidae,1
0078S,7,25,T1,2019,LEPUNK,4
0078S,7,25,T1,2019,Miridae,1
0078S,7,25,T1,2019,Muscidae,2
0078S,7,25,T1,2019,Pentatomidae,1
0078S,7,25,T1,2019,Scarabaeidae,5
0078S,7,25,T1,2019,Sphaeroceridae,1
0078S,7,25,T1,2019,Thripidae,16
0078S,7,25,T1,2019,Torymidae,1
0078S,7,25,T2,2019,Acrididae,1
0078S,7,25,T2,2019,Aeolothripidae,1
0078S,7,25,T2,2019,Aphididae,4
0078S,7,25,T2,2019,Aphrophoridae,2
0078S,7,25,T2,2019,Ceratopogonidae,1
0078S,7,25,T2,2019,Chloropidae,1
0078S,7,25,T2,2019,Chrysomelidae,11
0078S,7,25,T2,2019,Cicadellidae,2
0078S,7,25,T2,2019,Cixiidae,4
0078S,7,25,T2,2019,Culicidae,1
0078S,7,25,T2,2019,Eulophidae,1
0078S,7,25,T2,2019,LEPUNK,1
0078S,7,25,T2,2019,Miridae,2
0078S,7,25,T2,2019,Scatopsidae,1
0078S,7,25,T2,2019,Thripidae,2
0078S,7,25,T2,2019,Ulidiidae,1
0078S,7,25,T3,2019,Aphididae,4
0078S,7,25,T3,2019,Brentidae,4
0078S,7,25,T3,2019,Cecidomyiidae,1
0078S,7,25,T3,2019,Ceratopogonidae,2
0078S,7,25,T3,2019,Chironomidae,1
0078S,7,25,T3,2019,Chloropidae,6
0078S,7,25,T3,2019,Chrysopidae,1
0078S,7,25,T3,2019,Cicadellidae,8
0078S,7,25,T3,2019,Delphacidae,1
0078S,7,25,T3,2019,Dolichopodidae,1
0078S,7,25,T3,2019,Eulophidae,1
0078S,7,25,T3,2019,Miridae,1
0078S,7,25,T3,2019,Muscidae,2
0078S,7,25,T3,2019,Nitidulidae,1
0078S,7,25,T3,2019,Pteromalidae,1
0078S,7,25,T3,2019,Sphaeroceridae,2
0078S,7,25,T3,2019,Syrphidae,1
0078S,7,25,T3,2019,Thripidae,2
0078S,7,25,T3,2019,Ulidiidae,2
0078S,8,14,T1,2020,Acrididae,8
0078S,8,14,T1,2020,Anthicidae,1
0078S,8,14,T1,2020,Aphididae,22
0078S,8,14,T1,2020,Aphrophoridae,2
0078S,8,14,T1,2020,Braconidae,1
0078S,8,14,T1,2020,Chloropidae,5
0078S,8,14,T1,2020,Chrysomelidae,15
0078S,8,14,T1,2020,Cicadellidae,12
0078S,8,14,T1,2020,COLUNK,4
0078S,8,14,T1,2020,Curculionidae,1
0078S,8,14,T1,2020,Cynipidae,1
0078S,8,14,T1,2020,DIPUNK,1
0078S,8,14,T1,2020,Dolichopodidae,2
0078S,8,14,T1,2020,Eulophidae,9
0078S,8,14,T1,2020,Formicidae,1
0078S,8,14,T1,2020,Gryllidae,3
0078S,8,14,T1,2020,HEMUNK,1
0078S,8,14,T1,2020,HYMUNK,1
0078S,8,14,T1,2020,Latridiidae,7
0078S,8,14,T1,2020,LEPUNK,2
0078S,8,14,T1,2020,Megaspilidae,1
0078S,8,14,T1,2020,Miridae,2
0078S,8,14,T1,2020,Mymaridae,2
0078S,8,14,T1,2020,Nabidae,1
0078S,8,14,T1,2020,Noctuidae,1
0078S,8,14,T1,2020,Pentatomidae,4
0078S,8,14,T1,2020,Phalacridae,4
0078S,8,14,T1,2020,Platygastridae,6
0078S,8,14,T1,2020,Pteromalidae,1
0078S,8,14,T1,2020,Reduviidae,1
0078S,8,14,T1,2020,Simuliidae,1
0078S,8,14,T1,2020,Tingidae,12
0078S,8,14,T1,2020,Torymidae,1
0078S,8,14,T1,2020,Ulidiidae,1
0078S,8,14,T2,2020,Aphididae,5
0078S,8,14,T2,2020,Ceraphronidae,1
0078S,8,14,T2,2020,Chloropidae,14
0078S,8,14,T2,2020,Chrysomelidae,45
0078S,8,14,T2,2020,Cicadellidae,3
0078S,8,14,T2,2020,Eulophidae,5
0078S,8,14,T2,2020,Figitidae,2
0078S,8,14,T2,2020,Latridiidae,1
0078S,8,14,T2,2020,LEPUNK,5
0078S,8,14,T2,2020,Mymaridae,1
0078S,8,14,T2,2020,Pentatomidae,1
0078S,8,14,T2,2020,Phlaeothripidae,2
0078S,8,14,T2,2020,Phoridae,1
0078S,8,14,T2,2020,Platygastridae,6
0078S,8,14,T2,2020,Pteromalidae,1
0078S,8,14,T2,2020,Scatopsidae,1
0078S,8,14,T2,2020,Simuliidae,4
0078S,8,14,T2,2020,Sphaeroceridae,1
0078S,8,14,T2,2020,Thripidae,3
0078S,8,14,T2,2020,Ulidiidae,1
0078S,8,14,T3,2020,Acrididae,6
0078S,8,14,T3,2020,Aphididae,5
0078S,8,14,T3,2020,Aphrophoridae,4
0078S,8,14,T3,2020,Cantharidae,1
0078S,8,14,T3,2020,Chironomidae,3
0078S,8,14,T3,2020,Chloropidae,6
0078S,8,14,T3,2020,Chrysomelidae,3
0078S,8,14,T3,2020,Cicadellidae,17
0078S,8,14,T3,2020,Culicidae,1
0078S,8,14,T3,2020,Dolichopodidae,2
0078S,8,14,T3,2020,Eulophidae,5
0078S,8,14,T3,2020,Eupelmidae,1
0078S,8,14,T3,2020,Eurytomidae,1
0078S,8,14,T3,2020,Figitidae,1
0078S,8,14,T3,2020,Formicidae,6
0078S,8,14,T3,2020,Ichneumonidae,1
0078S,8,14,T3,2020,Miridae,8
0078S,8,14,T3,2020,Mymaridae,2
0078S,8,14,T3,2020,Nabidae,1
0078S,8,14,T3,2020,Noctuidae,1
0078S,8,14,T3,2020,Phalacridae,8
0078S,8,14,T3,2020,Phoridae,2
0078S,8,14,T3,2020,Platygastridae,6
0078S,8,14,T3,2020,Psyllidae,4
0078S,8,14,T3,2020,Pteromalidae,1
0078S,8,14,T3,2020,Reduviidae,1
0078S,8,14,T3,2020,Sciomyzidae,1
0078S,8,14,T3,2020,Simuliidae,1
0078S,8,14,T3,2020,Syrphidae,1
0078S,8,14,T3,2020,Tephritidae,1
0078S,8,14,T3,2020,Tettigoniidae,1
0078S,8,14,T3,2020,Tingidae,1
0078S,8,14,T3,2020,Tipulidae,1
0078S,8,27,T1,2019,Acrididae,1
0078S,8,27,T1,2019,Alydidae,1
0078S,8,27,T1,2019,Aphididae,16
0078S,8,27,T1,2019,Brentidae,12
0078S,8,27,T1,2019,Ceratopogonidae,2
0078S,8,27,T1,2019,Chloropidae,3
0078S,8,27,T1,2019,Chrysomelidae,42
0078S,8,27,T1,2019,Cicadellidae,2
0078S,8,27,T1,2019,Culicidae,1
0078S,8,27,T1,2019,Encyrtidae,1
0078S,8,27,T1,2019,Eulophidae,1
0078S,8,27,T1,2019,LEPUNK,3
0078S,8,27,T1,2019,Muscidae,2
0078S,8,27,T1,2019,Noctuidae,1
0078S,8,27,T1,2019,Pentatomidae,6
0078S,8,27,T1,2019,Scarabaeidae,2
0078S,8,27,T1,2019,Sciaridae,1
0078S,8,27,T1,2019,Syrphidae,1
0078S,8,27,T2,2019,Acanaloniidae,1
0078S,8,27,T2,2019,Aphididae,9
0078S,8,27,T2,2019,Braconidae,1
0078S,8,27,T2,2019,Chrysomelidae,8
0078S,8,27,T2,2019,Cicadellidae,8
0078S,8,27,T2,2019,Depressariidae,5
0078S,8,27,T2,2019,Eulophidae,1
0078S,8,27,T2,2019,Geometridae,2
0078S,8,27,T2,2019,LEPUNK,3
0078S,8,27,T2,2019,Miridae,1
0078S,8,27,T2,2019,Scarabaeidae,4
0078S,8,27,T2,2019,Stratiomyidae,1
0078S,8,27,T3,2019,Anthomyiidae,2
0078S,8,27,T3,2019,Aphididae,4
0078S,8,27,T3,2019,Ceratopogonidae,2
0078S,8,27,T3,2019,Chalcididae,1
0078S,8,27,T3,2019,Chironomidae,1
0078S,8,27,T3,2019,Chloropidae,7
0078S,8,27,T3,2019,Chrysomelidae,1
0078S,8,27,T3,2019,Cicadellidae,3
0078S,8,27,T3,2019,Eulophidae,5
0078S,8,27,T3,2019,Eurytomidae,1
0078S,8,27,T3,2019,Gryllidae,1
0078S,8,27,T3,2019,LEPUNK,2
0078S,8,27,T3,2019,Muscidae,2
0078S,8,27,T3,2019,Phalacridae,1
0078S,8,27,T3,2019,Pteromalidae,1
0078S,8,27,T3,2019,Scarabaeidae,3
0078S,8,27,T3,2019,Sphaeroceridae,3
0078S,8,27,T3,2019,Tettigoniidae,2
00792,7,24,T1,2019,Acrididae,2
00792,7,24,T1,2019,Aeolothripidae,3
00792,7,24,T1,2019,Agromyzidae,2
00792,7,24,T1,2019,Anthocoridae,1
00792,7,24,T1,2019,Aphididae,2
00792,7,24,T1,2019,Carabidae,1
00792,7,24,T1,2019,Cerambycidae,2
00792,7,24,T1,2019,Chloropidae,60
00792,7,24,T1,2019,Chrysomelidae,1
00792,7,24,T1,2019,Cicadellidae,14
00792,7,24,T1,2019,Culicidae,9
00792,7,24,T1,2019,Dolichopodidae,2
00792,7,24,T1,2019,Eurytomidae,9
00792,7,24,T1,2019,Formicidae,3
00792,7,24,T1,2019,Halictidae,1
00792,7,24,T1,2019,HEMUNK,1
00792,7,24,T1,2019,Lauxaniidae,3
00792,7,24,T1,2019,LEPUNK,5
00792,7,24,T1,2019,Miridae,4
00792,7,24,T1,2019,Nymphalidae,1
00792,7,24,T1,2019,Platygastridae,12
00792,7,24,T1,2019,Pteromalidae,31
00792,7,24,T1,2019,Sepsidae,4
00792,7,24,T1,2019,Tabanidae,1
00792,7,24,T1,2019,Thripidae,4
00792,7,24,T1,2019,Thyreocoridae,3
00792,7,24,T2,2019,Agromyzidae,1
00792,7,24,T2,2019,Anthomyiidae,1
00792,7,24,T2,2019,Aphididae,1
00792,7,24,T2,2019,Chironomidae,13
00792,7,24,T2,2019,Chloropidae,35
00792,7,24,T2,2019,Cicadellidae,20
00792,7,24,T2,2019,COLUNK,2
00792,7,24,T2,2019,Corylophidae,1
00792,7,24,T2,2019,Curtonotidae,3
00792,7,24,T2,2019,Delphacidae,2
00792,7,24,T2,2019,Eulophidae,27
00792,7,24,T2,2019,Eurytomidae,6
00792,7,24,T2,2019,Figitidae,1
