WSppCode,Genus,Species,Family,CommonName,USDACode,ZSppCode,ClonalityButler,USDACuttings,USDATuber,USDABareRoot,UDSASprigs,ClonalityOther,ClonalityOtherSource,ClonalityCitation,ClonalCongener,ClonalGrowthOrgans,ClonalityCat,ClonalityCatFinal,ClonalityNotes,ClonalityDone?,USDAGroup,USDAHabit,USDADuration,USDANativeStatus,USDANotes,Kew1000seeds_g,PollMode1,PollMode2,Self-Compat?,PollModeSource,PollModeCongener,PollModeCite,PollModeNotes,PollDone?,DispMode1,DispMode2,DustLikeWindDisp?,DispModeSource,DispMode1Congener,DispModeCite,DispersalDone?,DispersalNotes,FlowerColor1,FlowerColor2,FlowerColor3,FlowerColorSource,FlowerColorNotes,
ALLSTE,Allium,stellatum,Liliaceae,autumn onion,ALST,ALLSTE,,,,,,0,Friends of Eloise Butler,http://www.friendsofthewildflowergarden.org/pages/plants/wildonion.html,,,PerNoClon,NonClonal,Bulbs,1,Monocot,Forb_herb,Perennial,N,,1.89,Bee,Fly,0,primary paper,,Molano-Flores 1999,,1,Unassisted,,0,Field Experience,,"Jesse Miller, Field experience",1,,,,,Voss&Reznicek2011,pink to purple,
AMBART,Ambrosia,artemisiifolia,Asteraceae,annual ragweed,AMAR2,AMBART,0,,,,,0,,,,,AnnSeed,NonClonal,,1,Dicot,Forb_herb,Annual,NI,,3.63,Wind,,0,Annals of Botany Vol 101,,"Friedman and Barrett, 2008",,1,Unassisted,Adhesive,0,EFSA and Eloise Butler Wildflower Garden,,http://www.efsa.europa.eu/en/scdocs/doc/1566.pdf; http://www.friendsofthewildflowergarden.org/pages/plants/commragweed.html,1,,,,,,color not found in sources,
AMPBRA,Amphicarpaea,bracteata,Fabaceae,American hogpeanut,AMBR2,,,,,,,0,American Journal of Botany Vol 73. No. 3,"Schnee and Waller, 1986",,,AnnSeed,NonClonal,,1,Dicot,Forb_herb,AP,N,,27.09,Bee,,0,primary paper,,Schnee 1986,,1,Ballistic,,1,American Journal of Botany Vol. 75 No. 1,,"van Rheede van Oudtshoorn, K. and van Rooyen, M.W. 1999. Dispersal Biology of Desert Plants. Adaptations of Desert Organisms. Springer-Verlag, Berlin. ; Trapp 1988",1,DispMode2= dispersal prevented. Some seeds are produced belowground.,,,,Chadde2013,pale purple to whitish,
AMOCAN,Amorpha,canescens,Fabaceae,leadplant,AMCA6,AMOCAN,0,1,0,1,0,1,Flora of MO,"Yatskievych 1999, 2006, 2013",,Knotty rootstock,PerClonPhl,ClonalPhl,?knotty rootstock with a deep thick taproot? -Y,1,Dicot,Shrub,Perennial,N,,2,Bee,,0,primary paper,,Slagle 2009,,1,Mammal,,0,Kew,,"Young and Young, 1992",1,,,,,,,
AMBPSI,Ambrosia,psilostachya,Asteraceae,Cuman ragweed,AMPS,,,,,,,1,Canadian Journal of Plant Science vol. 55,"Bassett and Crompton, 1975",,Rhizome,PerClonGuer,ClonalGuer,,1,Dicot,Forb_herb,AP,N,,6.6,Wind,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/prairie/plantx/ws_ragweedx.htm,,1,Unassisted,Adhesive,0,Eloise Butler Wildflower Garden,Ambrosia trifida,http://www.friendsofeloisebutler.org/pages/plants/giantragweed.html,1,,,,,,color not found in sources,
AMBTRI,Ambrosia,trifida,Asteraceae,great ragweed,AMTR,,,,,,,0,,,,,AnnSeed,NonClonal,,1,Dicot,Forb_herb,Annual,N,,11,Wind,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/weeds/plants/giant_ragweed.htm,,1,Unassisted,Adhesive,0,Eloise Butler Wildflower Garden,,http://www.friendsofeloisebutler.org/pages/plants/giantragweed.html,1,,,,,,color not found in sources,
ANGATR,Angelica,atropurpurea,Apiaceae,purplestem angelica,ANAT,,,,,,,0,The Herb Society of America,www.herbsociety.org/factsheets/angelica.pdf,,,PerNoClon,NonClonal,,1,Dicot,Forb_herb,Perennial,N,,4.14,Bee,Fly,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/wetland/plants/grt_angelica.html,,1,Unassisted,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/wetland/plants/grt_angelica.html,1,Has lateral wings,,,,Chadde2013,white to green-white,
ANECAN,Anemone,canadensis,Ranunculaceae,Canadian anemone,ANCA8,,1,,,,,1,Conservation Comission of Missouri,http://mdc.mo.gov/discover-nature/field-guide/white-anemone-meadow-anemone-windflower,,Rhizomes,PerClonGuer,ClonalGuer,,1,Dicot,Forb_herb,Perennial,N,,2.26,Bee,Fly,0,primary paper,,Douglas 1994,,1,Unassisted,,0,Kew,Anemone  baldensis,"Ridley, 1930",1,,white,,,Voss&Reznicek2011,mature perianth white,
ANECYL,Anemone,cylindrica,Ranunculaceae,candle anemone,ANCY,,0,,,,,1,Illinois Wildflowers,http://www.illinoiswildflowers.info/prairie/plantx/thimbleweedx.htm,,Rhizomes,PerClonGuer,ClonalGuer,,1,Dicot,Forb_herb,Perennial,N,,1.2,Bee,Fly,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/prairie/plantx/thimbleweedx.htm,,1,Unassisted,,0,Kew,,"Ridley, 1930",1,,,,,Voss&Reznicek2011,mature perianth white to cream or greenish,
ANDGER,Andropogon,gerardii,Poaceae,big bluestem,ANGE,ANDGER,1,0,0,0,0,1,Flora of MO,"Yatskievych 1999, 2006, 2013",,rhizomes,PerClonPhl,ClonalPhl,?forming clumps? -Y,1,Monocot,Graminoid,Perennial,N,,2.32,Wind,,0,American Journal of Botany Vol. 85 no. 6,,McKone et al. 1998,,1,Unassisted,,0,American Journal of Botany Vol. 85 No. 6,,McKone et al. 1998,1,"""no obvious adaptation for seed dispersal""",,,,,,
ANEQUI,Anemone,quinquefolia,Ranunculaceae,wood anemone,ANQU,,,,,,,1,Minnesota Wildflowers,https://www.minnesotawildflowers.info/flower/wood-anemone,,Rhizome,PerClonGuer,ClonalGuer,,1,Dicot,Forb_herb,Perennial,N,,1.26,Bee,Fly,1,Plants for the future,,http://www.pfaf.org/user/Plant.aspx?LatinName=Anemone+quinquefolia,,1,Ant,,0,Wildflowers of the Appalachian Trail,,"Adkins, 2006",1,,white,,,Voss&Reznicek2011,mature perianth white,
ANTSPP,Antennaria,Gaertn.,Asteraceae,pussytoes,ANTEN,,,,,,,1,Illinois Wildflowers,http://www.illinoiswildflowers.info/savanna/plants/pl_pussytoes.htm,A. plantaginifolia,,PerClonPhl,ClonalPhl,,1,Dicot,,,N,,,Wind,Bee,0,Illinois Wildflowers,Antennaria neglecta,http://www.illinoiswildflowers.info/prairie/plantx/fld_pussytoesx.htm,also flies,1,,,0,,,,1,Do not need to do because specific species are listed.,,,,,,
ANEVIR,Anemone,virginiana,Ranunculaceae,tall thimbleweed,ANVI3,ANEVIR,,,,,,1,Illinois Wildflowers,http://www.illinoiswildflowers.info/savanna/plants/tl_anemone.htm,,rhizomes,PerClonGuer,ClonalGuer,,1,Dicot,Forb_herb,Perennial,N,,1.13,Bee,Fly,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/savanna/plants/tl_anemone.htm,,1,Unassisted,,0,Kew,Anemone  baldensis,"Ridley, 1930",1,,,,,Voss&Reznicek2011,mature perianth white to cream or greenish,
APIAME,Apios,americana,Fabaceae,groundnut,APAM,,,0,1,0,0,1,Missouri Botanical Gardens,http://www.missouriplants.com/Redalt/Apios_americana_page.html,,Rhizomes,PerClonPhl,ClonalPhl,,1,Dicot,Forb_herb,Perennial,N,,,Bee,,0,primary paper,,Bruneau 1994,,1,Unassisted,,0,American Journal of Botany Vol. 75 No. 12,,"Bruneau and Anderson, 1988",1,,,,,Voss&Reznicek2011,very deep red- or purple-brown,
APOAND,Apocynum,androsaemifolium,Apocynaceae,spreading dogbane,APAN2,,1,,,,,1,US Forest Service,http://www.fs.fed.us/database/feis/plants/forb/apoand/all.html,,Rhizomes,PerClonPhl,ClonalPhl,,1,Dicot,Forb_herb,Perennial,N,,0.25,Bee,Fly,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/savanna/plants/spr_dogbane.html,,1,Wind,,0,Kew,Apocynum cannabinum,"Matlack, 1987",1,,,,,Voss&Reznicek2011,pink to rosy,
APOCAN,Apocynum,cannabinum,Apocynaceae,Indianhemp,APCA,APOCAN,1,0,0,1,0,1,Flora of MO,"Yatskievych 1999, 2006, 2013",,Rhizomes,PerClonGuer,ClonalGuer,"?sometimes forming large colonies from elongate, branching rhiz.? -Y",1,Dicot,Forb_herb,Perennial,N,,1.1,Bee,Fly,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/prairie/plantx/dogbanex.htm,,1,Wind,,0,Kew,,"Matlack, 1987",1,,,,,Voss&Reznicek2011,white to greenish,
AQUCAN,Aquilegia,canadensis,Ranunculaceae,red columbine,AQCA,,,,,,,0,Lake forest college,https://www.lakeforest.edu/academics/programs/environmental/courses/es203/aquilegia_canadensis.php,,,PerNoClon,NonClonal,,1,Dicot,Forb_herb,Perennial,N,,1.16,Bird,Bee,0,USDA Plant Guide,,http://plants.usda.gov/plantguide/pdf/pg_aqca.pdf,,1,Unassisted,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/woodland/plants/wild_columbine.htm,1,,red,yellow,,Voss&Reznicek2011,red and yellow,
ARNATR,Arnoglossum,atriplicifolium,Asteraceae,pale Indian plantain,ARAT,,,,,,,0,Field Knowledge,"WIMO Team, Field Knowledge",,,PerNoClon,NonClonal,,1,Dicot,Forb_herb,Perennial,N,,2.67,Bee,Fly,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/savanna/plants/pale_indplant.htm,,1,Wind,Adhesive,0,Field Knowledge,,"AA, Field Knowledge",1,,white,,,Chadde2013,,
ARACAN,Arabis,canadensis,Brassicaceae,sicklepod,ARCA,ARACAN,,,,,,0,Illinois Wildflowers,"http://www.illinoiswildflowers.info/woodland/plants/sm_rockcress.htm;	http://www.npwrc.usgs.gov/resource/plants/explant/summinfo.htm", Arabis laevigata and Arabis glabra,,AnnSeed,NonClonal,,1,Dicot,Forb_herb,Biennial,N,,0.31,Bee,Fly,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/savanna/plants/sicklepod.html,,1,Wind,,0,Kew,Arabis hookeri,"van Rheede van Oudtshoorn and van Rooyen, 1999",1,,,,,Chadde2013,white to cream,
ARTCAM,Artemisia,campestris,Asteraceae,field sagewort,ARCA12,,0,,,,,1,Clonal Plants Database,,,Root splitters,PerClonPhl,ClonalPhl,,1,Dicot,Forb_herb,PB,N,,0.1,Wind,,0,USDA Forest Service,,http://www.fs.fed.us/ne/delaware/ilpin/239.co,,1,Unassisted,Wind,0,USDA Forest Servicce,,http://www.fs.fed.us/database/feis/plants/forb/artcam/all.html#BOTANICAL%20AND%20ECOLOGICAL%20CHARACTERISTICS,1,,,,,,color not found in sources,
ARAGLA,Arabis,glabra,Brassicaceae,tower rockcress,ARGL,,,,,,,0,Illinois Wildflowers,http://www.illinoiswildflowers.info/prairie/plantx/tower_mustard.htm,,,PerNoClon,NonClonal,,1,Dicot,Forb_herb,APB,N,,0.1,Bee,Fly,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/prairie/plantx/tower_mustard.htm,,1,Wind,,1,Kew,Arabis hookeri,"van Rheede van Oudtshoorn and van Rooyen, 1999",1,,white,yellow,pink,Gleason&Conquist1991,"white, yellowish, or pink",
ARISPP,Aristida,L.,Poaceae,threeawn,ARIST,ARISPP,,,,,,,,,,,,,Do not need to do because specific species is listed.,1,Monocot,,,N,,,,,0,,,,Do not need to do because specific species is listed.,1,,,0,,,,1,Do not need to do disp because specific species listed,,,,,,
ALOPRA,Alopecurus,pratensis,Poaceae,meadow foxtail,ALPR3,,,,,,,,,,,Rhizome,,,,0,Monocot,Graminoid,Perennial,I,,,Wind,,0,Illinois Wildflowers,,https://www.illinoiswildflowers.info/grasses/plants/mdw_fxtail.htm,,1,Wind,,0,,,,0,Winter dispersal based on other grass species,,,,,,
BOELAE,Boechera,laevigata,Brassicaceae,smooth rockcress,ARLA,BOELAE,,,,,,0,,,,,AnnSeed,NonClonal,,1,Dicot,Forb_herb,Biennial,N,,0.2,Bee,Fly,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/woodland/plants/sm_rockcress.htm,,1,Ballistic,,0,Field Knowledge,,"JM, Field Knowledge",1,,white,,,Chadde2013,,
ARTLUD,Artemisia,ludoviciana,Asteraceae,white sagebrush,ARLU,,,1,0,0,1,1,USDA,http://plants.usda.gov/plantguide/pdf/cs_arlu.pdf,,Rhizome,PerClonPhl,ClonalPhl,,1,Dicot,Forb_herb,Perennial,NI,,0.11,Wind,,0,USDA Forest Service,,http://www.fs.fed.us/database/feis/plants/forb/artlud/all.html,,1,Unassisted,Wind,0,USDA Forest Servicce,,http://www.fs.fed.us/database/feis/plants/forb/artlud/all.html#BOTANICAL%20AND%20ECOLOGICAL%20CHARACTERISTICS,1,,,,,,color not found in sources,
ARALYR,Arabis,lyrata,Brassicaceae,lyrate rockcress,ARLY2,,0,,,,,0,Butler,,,,PerNoClon,NonClonal,,1,Dicot,Forb_herb,PB,N,,0.17,Bee,Fly,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/savanna/plants/sand_cress.html,"Also, Small butterflies",1,Wind,,1,Kew,Arabis hookeri,"van Rheede van Oudtshoorn and van Rooyen, 1999",1,,white,yellow,pink,Gleason&Conquist1991,"white, yellowish, or pink",
ARCMIN,Arctium,minus,Asteraceae,lesser burdock,ARMI2,,,,,,,0,University of Alaska,http://aknhp.uaa.alaska.edu/wp-content/uploads/2013/01/Arctium_minus_RANK_ARMI2.pdf,,,PerNoClon,NonClonal,,1,Dicot,Forb_herb,Biennial,I,,8.8,Bee,Butterfly,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/weeds/plants/cm_burdock.htm,,1,Adhesive,,0,Kew,Arctium lappa,Bouman et al. 2000,1,,pink,purple,,Chadde2013,pink or purplish,
ARNPLA,Arnoglossum,plantagineum,Asteraceae,groovestem Indian plantain,ARPL4,ARNPLA,0,,,,,0,Flora of MO,"Yatskievych 1999, 2006, 2013",,,PerNoClon,NonClonal,?rootstock not tuberous-thickened.? -Y,1,Dicot,Forb_herb,Perennial,N,,3.84,Bee,Butterfly,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/prairie/plantx/pr_ind_plantainx.htm,,1,Wind,Adhesive,0,Minnesota DNR,,http://www.dnr.state.mn.us/rsg/profile.html?action=elementDetail&selectedElement=PDASTD7060,1,,white,,,Chadde2013,,
ARIPUR,Aristida,purpurascens,Poaceae,arrowfeather threeawn,ARPU8,ARIPUR,,,,,,1,Flora of MO,"Yatskievych 1999, 2006, 2013",,rhizomes,PerClonPhl,ClonalPhl,?forming tufts or clumps? -Y,1,Monocot,Graminoid,Perennial,N,,0.62,Wind,,0,Botanical Journal of the Linnean Society Vol 110,Aristida capillacea,"Ramirez and Brito, 1992",,1,Adhesive,,0,Kew,Aristida adscensionis,"Sen, 1982",1,,,,,,,
ARTSER,Artemisia,serrata,Asteraceae,sawtooth wormwood,ARSE4,,,,,,,1,US Forest Service,http://www.fs.fed.us/ne/delaware/ilpin/245.co,,Rhizome,PerClonPhl,ClonalPhl,,1,Dicot,Forb_herb,Perennial,N,,,Wind,,0,USDA Forest Service,,http://www.fs.fed.us/ne/delaware/ilpin/245.co,,1,Unassisted,Wind,0,USDA Forest Servicce,A. ludoviciana,http://www.fs.fed.us/database/feis/plants/forb/artlud/all.html#BOTANICAL%20AND%20ECOLOGICAL%20CHARACTERISTICS,1,,,,,,color not found in sources,
ARITRI,Arisaema,triphyllum,Araceae,Jack in the pulpit,ARTR,,,0,0,1,0,0,Friends of Eloise Butler,http://www.friendsofthewildflowergarden.org/pages/plants/jackinpulpit.html,,,PerNoClon,NonClonal,Corm,1,Monocot,Forb_herb,Perennial,N,,31,Fly,,0,primary paper,,Rust 1980,pollinators = thrips and midges,1,Bird,,0,Kew,,"Willson and Hoppes, 1986",1,,,,,Chadde2013,"spadix subtended by a green, purple-striped spathe; petals absent",
ASCAMP,Asclepias,amplexicaulis,Asclepiadaceae,clasping milkweed,ASAM,,,,,,,1,The Vegetation of the New Jersey Pine-Barrens: An Ecological Investigation,"Harshberge, 1916",,Rhizome,PerClonPhl,ClonalPhl,,1,Dicot,Forb_herb,Perennial,N,,10.6,Bee,,0,Northeastern Illinois University,Asclepias spp.,Betz et al.,,1,Wind,,0,Kew,Asclepias syriaca,"Matlack, 1987",1,,,,,Chadde2013,greenish purple,
ASTCAN,Astragalus,canadensis,Fabaceae,Canadian milkvetch,ASCA11,,,0,0,0,0,1,USDA,http://plants.usda.gov/factsheet/pdf/fs_asca11.pdf,,Rhizome,PerClonPhl,ClonalPhl,,1,Dicot,Forb_herb,Perennial,N,,2,Bee,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/prairie/plantx/can_milkvetchx.htm,,1,Unassisted,,0,Oecologia Vol. 17,,Platt et al. 1974,1,,white,,,Chadde2013,white or yellowish white,
ASCSPP,Asclepias,L.,Asclepiadaceae,milkweed,ASCLE,ASCSPP,,,,,,,,,,,,,Do not need to do because specific species are listed.,1,Dicot,,,NI,,,,,0,,,,Do not need to do because specific species is listed.,1,,,0,,,,1,Do not need to do because species are listed,,,,,,
ASCHIR,Asclepias,hirtella,Asclepiadaceae,green milkweed,ASHI,,,,,,,0,Illinois Wildflowers,http://www.illinoiswildflowers.info/prairie/plantx/tg_milkweed.htm,,,PerNoClon,NonClonal,,1,Dicot,Forb_herb,Perennial,N,,7.59,Bee,Butterfly,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/prairie/plantx/tg_milkweed.htm,also moths,1,Wind,,0,Kew,Asclepias syriaca,"Matlack, 1987",1,,green,purple,,Voss&Reznicek2011,"greenish, purple tinged",
ASCINC,Asclepias,incarnata,Asclepiadaceae,swamp milkweed,ASIN,,0,0,0,0,1,0,US Forest Service,http://www.fs.fed.us/database/feis/plants/forb/ascinc/all.html#BOTANICAL%20AND%20ECOLOGICAL%20CHARACTERISTICS,,,PerNoClon,NonClonal,,1,Dicot,Forb_herb,Perennial,N,,3.65,Bee,Butterfly,0,Northeastern Illinois University,Asclepias spp.,Betz et al.,,1,Wind,,0,Kew,Asclepias syriaca,"Matlack, 1987",1,,,,,Voss&Reznicek2011,rich rose-purple,
ASCLAN,Asclepias,lanuginosa,Asclepiadaceae,sidecluster milkweed,ASLA3,,0,,,,,0,Butler,,,,PerNoClon,NonClonal,,1,Dicot,Forb_herb,Perennial,N,,,Bee,,0,Northeastern Illinois University,Asclepias spp.,Betz et al.,,1,Wind,,0,Kew,Asclepias syriaca,"Matlack, 1987",1,,green,,,Chadde2013,pale green,
ASPOFF,Asparagus,officinalis,Liliaceae,garden asparagus,ASOF,,,,,,,1,Illinois Wildflowers,http://www.illinoiswildflowers.info/weeds/plants/asparagus.htm,,Rhizome,PerClonPhl,ClonalPhl,,1,Monocot,Forb_herb,Perennial,I,,26,Bee,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/weeds/plants/asparagus.htm,,1,MammalBird,,0,Kew,Asparagus acutifolius,"Debussche and Isenmann, 1994",1,,yellow,,,Voss&Reznicek2011,greenish yellow,
ASCOVA,Asclepias,ovalifolia,Asclepiadaceae,oval-leaf milkweed,ASOV,,,,,,,0,Illinois Wildflowers,http://www.illinoiswildflowers.info/prairie/plantx/oval_milkweed.htm,,,PerNoClon,NonClonal,,1,Dicot,Forb_herb,Perennial,N,,4.15,Bee,Butterfly,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/prairie/plantx/oval_milkweed.htm,,1,Wind,,0,Kew,Asclepias syriaca,"Matlack, 1987",1,,,,,Voss&Reznicek2011,"whitish, cream, or greenish (at most the lobes tinged with purplish beneath)",
ASCPUR,Asclepias,purpurascens,Asclepiadaceae,purple milkweed,ASPU2,ASCPUR,,,,,,0,Ecological Restoration Vol. 27 No. 3,"Brock, 2009",,,PerNoClon,NonClonal,,1,Dicot,Forb_herb,Perennial,N,,,Bee,Butterfly,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/savanna/plants/pur_milkweed.htm,also flies,1,Wind,,0,"Kew
",Asclepias syriaca,"Matlack, 1987",1,,,,,Voss&Reznicek2011,rose to purple,
ASCSUL,Asclepias,sullivantii,Asclepiadaceae,prairie milkweed,ASSU3,,,,,,,1,Michigan Natural Features Inventory,mnfi.anr.msu.edu/abstracts/botany/asclepias_sullivantii.pdf,,Rhizome,PerClonPhl,ClonalPhl,,1,Dicot,Forb_herb,Perennial,N,,4.7,Bee,Butterfly,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/prairie/plantx/pr_milkweedx.htm,also flies,1,Wind,,0,Kew,Asclepias syriaca,"Matlack, 1987",1,,purple,,,Chadde2013,dull pale purple,
ASCSYR,Asclepias,syriaca,Asclepiadaceae,common milkweed,ASSY,,1,,,,,1,Illinois Wildflowers,http://www.illinoiswildflowers.info/weeds/plants/cm_milkweed.htm,,Rhizome,PerClonPhl,ClonalPhl,,1,Dicot,Forb_herb,Perennial,N,,6.2,Bee,Butterfly,0,primary paper,,Jennersten 1991,also flies and moths,1,Wind,,0,Kew,,"Matlack, 1987",1,,,,,Voss&Reznicek2011,rose to purple,
