,EasementID,Date,Sample,Adult,Immature,Total,Order,SubOrder,SuperFamily,Family,Notes,ProcessedOn,ProcessedBy,DataCheck,DataChecked:1/31/21
55,007XH,07/10/2019,T2,1,0,1,Odonata,Zygoptera,,ODOUNK,Destroyed damselfly,01/20/2020,GW,TRUE,
56,007XH,07/10/2019,T2,5,0,5,Hemiptera,,,Tingidae,,01/20/2020,GW,TRUE,
57,007XH,07/10/2019,T2,16,0,16,Hemiptera,,,Psyllidae,,01/20/2020,GW,TRUE,
58,007XH,07/10/2019,T2,2,1,3,Hemiptera,,,Membracidae,,01/20/2020,GW,TRUE,
59,007XH,07/10/2019,T2,0,3,3,Hemiptera,,,Cicadellidae,,01/20/2020,GW,TRUE,
60,007XH,07/10/2019,T2,0,2,2,Orthoptera,,,Tettigoniidae,,01/20/2020,GW,TRUE,
61,007XH,07/10/2019,T2,2,0,2,Diptera,,,DIPUNK,"Heads smashed/missing, likely Chloropids",01/20/2020,GW,TRUE,
62,007XH,07/10/2019,T2,3,0,3,Diptera,,,Chloropidae,,01/20/2020,GW,TRUE,
63,007XH,07/10/2019,T2,1,,1,Hymenoptera,,,Platygastridae,,01/23/2020,LD,TRUE,
64,007XH,07/10/2019,T2,1,,1,Hymenoptera,,,Mymaridae,,01/23/2020,LD,TRUE,
65,007XH,07/10/2019,T2,1,,1,Hymenoptera,,,Eurytomidae,,01/23/2020,LD,TRUE,
66,007XH,07/10/2019,T2,0,4,4,Lepidoptera,,,LEPUNK,Unidentified caterpillars,01/23/2020,GW,TRUE,
67,007XH,07/10/2019,T2,3,,3,Hymenoptera,,,HYMUNK,"Chalcidoidea, no wings/broken antennae ",01/23/2020,LD,TRUE,
68,007XH,07/10/2019,T2,2,,2,Hymenoptera,,,Eulophidae,,01/23/2020,LD,TRUE,
69,007XH,07/10/2019,T2,6,0,6,Diptera,Nematocera,,DIPUNK,"Green midges, too damaged to ID. One black midge.",01/23/2020,GW,TRUE,
70,007XH,07/10/2019,T2,0,13,13,Hemiptera,,,Saldidae,,01/23/2020,GW,TRUE,
71,007XH,07/10/2019,T2,0,2,2,Coleoptera,,,Chrysomelidae,Immature- case bearing larvae!,01/23/2020,LD,TRUE,
72,007XH,07/10/2019,T2,1,0,1,Hymenoptera,,,Ichneumonidae,,01/23/2020,GW,TRUE,
73,007XH,07/10/2019,T2,0,15,15,Coleoptera,,,COLUNK,Larvae – extremely difficult to ID,01/23/2020,GW,TRUE,
74,007XH,07/10/2019,T2,0,4,4,Hemiptera,Auchenorrhyncha,,HEMUNK,"Fulgoroidea, Immature hoppers, not intact enough for ID",01/23/2020,GW,TRUE,
75,007XH,07/10/2019,T2,16,0,16,Thysanoptera,,,Thripidae,Dark and light colored thrips,01/23/2020,GW,TRUE,
76,00MJ8,07/23/2019,T1,0,6,6,Orthoptera,,,ORTUNK,no legs,01/07/2020,LD,TRUE,
77,00MJ8,07/23/2019,T1,2,0,2,Hymenoptera,,,HYMUNK,,01/07/2020,LD,TRUE,
78,00MJ8,07/23/2019,T1,1,0,1,Diptera,,,Anthomyiidae,,01/07/2020,LD,TRUE,
79,00MJ8,07/23/2019,T1,1,0,1,Coleoptera,,,Carabidae,,01/07/2020,LD,TRUE,
80,00MJ8,07/23/2019,T1,5,0,5,Diptera,,,Chloropidae,,01/07/2020,LD,TRUE,
81,00MJ8,07/23/2019,T1,9,0,9,Coleoptera,,,Chrysomelidae,,01/07/2020,LD,TRUE,
82,00MJ8,07/23/2019,T1,1,1,2,Hemiptera,,,Cicadellidae,,01/07/2020,LD,TRUE,
83,00MJ8,07/23/2019,T1,1,0,1,Hemiptera,,,Cixiidae,,01/07/2020,LD,TRUE,
84,00MJ8,07/23/2019,T1,1,0,1,Coleoptera,,,Curculionidae,weeeeeevils,01/07/2020,LD,TRUE,
85,00MJ8,07/23/2019,T1,1,0,1,Diptera,,,Dolichopodidae,,01/07/2020,LD,TRUE,
86,00MJ8,07/23/2019,T1,1,0,1,Hymenoptera,,,Eulophidae,,01/07/2020,LD,TRUE,
87,00MJ8,07/23/2019,T1,1,0,1,Hymenoptera,,,Eurytomidae,,01/07/2020,LD,TRUE,
88,00MJ8,07/23/2019,T1,2,0,2,Hymenoptera,,,Formicidae,,01/07/2020,LD,TRUE,
89,00MJ8,07/23/2019,T1,1,0,1,Hymenoptera,,,Mymaridae,the tiniest lil wasp with feathery wings,01/07/2020,LD,TRUE,
90,00MJ8,07/23/2019,T1,2,8,10,Hemiptera,,,Nabidae,,01/07/2020,LD,TRUE,
91,00MJ8,07/23/2019,T1,117,0,117,Coleoptera,,,Phalacridae,shining flower beetles,01/07/2020,LD,TRUE,
92,00MJ8,07/23/2019,T1,1,0,1,Hymenoptera,,,Platygastridae,,01/07/2020,LD,TRUE,
93,00MJ8,07/23/2019,T1,24,0,24,Hemiptera,,,Psyllidae,green jumpies,01/07/2020,LD,TRUE,
94,00MJ8,07/23/2019,T1,3,0,3,Hymenoptera,,,Pteromalidae,,01/07/2020,LD,TRUE,
95,00MJ8,07/23/2019,T1,3,0,3,Coleoptera,,,Scarabaeidae,japanese beetles,01/07/2020,LD,TRUE,
96,00MJ8,07/23/2019,T1,1,0,1,Hymenoptera,,,Scelionidae,Now considered a subfamily of Platygastridae,01/07/2020,LD,TRUE,
97,00MJ8,07/23/2019,T1,1,0,1,Diptera,,,Sciaridae,,01/07/2020,LD,TRUE,
98,00MJ8,07/23/2019,T1,3,0,3,Diptera,,,Sciomyzidae,long antennae,01/07/2020,LD,TRUE,
99,00MJ8,07/23/2019,T1,1,0,1,Diptera,,,Simuliidae,,01/07/2020,LD,TRUE,
100,00MJ8,07/23/2019,T1,1,0,1,Diptera,,,Tephritidae,,01/07/2020,LD,TRUE,
101,00MJ8,07/23/2019,T3,0,1,1,Orthoptera,,,ORTUNK,,01/12/2020,LD,TRUE,
102,00MJ8,07/23/2019,T3,2,0,2,Lepidoptera,,,LEPUNK,un Id moth,01/12/2020,LD,TRUE,
103,00MJ8,07/23/2019,T3,1,0,1,Hymenoptera,,,Braconidae,,01/12/2020,LD,TRUE,
104,00MJ8,07/23/2019,T3,3,0,3,Coleoptera,,,Chrysomelidae,,01/12/2020,LD,TRUE,
105,00MJ8,07/23/2019,T3,0,2,2,Hemiptera,,,Cicadellidae,,01/12/2020,LD,TRUE,
106,00MJ8,07/23/2019,T3,1,0,1,Hymenoptera,,,Eulophidae,,01/12/2020,LD,TRUE,
107,00MJ8,07/23/2019,T3,15,0,15,Coleoptera,,,Phalacridae,,01/12/2020,LD,TRUE,
108,00MJ8,07/23/2019,T3,1,0,1,Hemiptera,,,Psyllidae,,01/12/2020,LD,TRUE,
109,00MJ8,07/23/2019,T3,1,0,1,Coleoptera,,,Scarabaeidae,,01/12/2020,LD,TRUE,
110,00MJ8,07/23/2019,T3,3,0,3,Hymenoptera,,,Scelionidae,Now considered a subfamily of Platygastridae,01/12/2020,LD,TRUE,
111,00WY5,07/23/2019,T3,0,2,2,Orthoptera,,,ORTUNK,no legs or antennae,01/05/2020,LD,TRUE,
112,00WY5,07/23/2019,T3,1,0,1,Diptera,,,DIPUNK,Destroyed,01/05/2020,LD,TRUE,
113,00WY5,07/23/2019,T3,1,0,1,Hemiptera,,,Aphididae,,01/05/2020,LD,TRUE,
114,00WY5,07/23/2019,T3,1,0,1,Diptera,,,Chloropidae,,01/05/2020,LD,TRUE,
115,00WY5,07/23/2019,T3,1,0,1,Coleoptera,,,Chrysomelidae,,01/05/2020,LD,TRUE,
116,00WY5,07/23/2019,T3,5,0,5,Hemiptera,,,Cicadellidae,,01/05/2020,LD,TRUE,
117,00WY5,07/23/2019,T3,1,0,1,Diptera,,,Culicidae,,01/05/2020,LD,TRUE,
118,00WY5,07/23/2019,T3,1,0,1,Diptera,,,Fanniidae,,01/05/2020,LD,TRUE,
119,00WY5,07/23/2019,T3,1,0,1,Hemiptera,,,Membracidae,,01/05/2020,LD,TRUE,
120,00WY5,07/23/2019,T3,0,2,2,Hemiptera,,,Miridae,,01/05/2020,LD,TRUE,
121,00WY5,07/23/2019,T3,5,0,5,Coleoptera,,,Nitidulidae,,01/05/2020,LD,TRUE,
122,00WY5,07/23/2019,T3,1,0,1,Hymenoptera,,,Perilampidae,,01/05/2020,LD,TRUE,
123,00WY5,07/23/2019,T3,2,0,2,Hymenoptera,,,Platygastridae,,01/05/2020,LD,TRUE,
124,00WY5,07/23/2019,T3,1,0,1,Diptera,,,Platystomatidae,,01/05/2020,LD,TRUE,
125,00WY5,07/23/2019,T3,1,0,1,Diptera,,,Sciomyzidae,,01/05/2020,LD,TRUE,
126,00WY5,07/23/2019,T3,1,0,1,Thysanoptera,,,Thripidae,,01/05/2020,LD,TRUE,
127,00WY5,07/23/2019,T2,1,0,1,Hymenoptera,,,Formicidae,,02/21/2020,GW,TRUE,
128,00WY5,07/23/2019,T2,0,1,1,Hemiptera,, ,Pentatomidae,,02/21/2020,GW,TRUE,
129,00WY5,07/23/2019,T2,1,1,2,Hemiptera,,,Miridae,,02/21/2020,GW,TRUE,
130,00WY5,07/23/2019,T2,10,0,10,Coleoptera,,,Chrysomelidae,,02/21/2020,GW,TRUE,
131,00WY5,07/23/2019,T2,1,0,1,Hemiptera,,,Dictyopharidae,,02/21/2020,GW,TRUE,
132,00WY5,07/23/2019,T2,3,0,3,Coleoptera,,,Curculionidae,,02/21/2020,GW,TRUE,
133,00WY5,07/23/2019,T2,1,1,2,Hemiptera,,,Cicadellidae,,02/22/2020,GB,TRUE,
134,00WY5,07/23/2019,T2,0,2,2,Hemiptera,,,Anthocoridae,,02/22/2020,GB,TRUE,
135,00WY5,07/23/2019,T2,7,0,7,Hymenoptera,,,Platygastridae,,02/22/2020,GB,TRUE,
136,00WY5,07/23/2019,T2,1,0,1,Hymenoptera,,Chalcidoidea,Encyrtidae,,02/22/2020,GB,TRUE,
137,00WY5,07/23/2019,T2,1,0,1,Hymenoptera,,Chalcidoidea,HYMUNK,,02/22/2020,GB,TRUE,
138,00WY5,07/23/2019,T2,1,0,1,Diptera,,,Phoridae,,02/22/2020,GB,TRUE,
139,00WY5,07/23/2019,T2,1,0,1,Diptera,,,Chloropidae,,02/22/2020,GB,TRUE,
140,0077R,07/17/2019,T3,1,0,1,Orthoptera,,,Acrididae,,01/01/2020,LD,TRUE,
141,0077R,07/17/2019,T3,1,0,1,Hemiptera,,,Anthocoridae,minute pirate bugs,01/01/2020,LD,TRUE,
142,0077R,07/17/2019,T3,2,0,2,Coleoptera,,,Chrysomelidae,tortoise beetles,01/01/2020,LD,TRUE,
143,0077R,07/17/2019,T3,3,0,3,Hemiptera,,,Cicadellidae,,01/01/2020,LD,TRUE,
144,0077R,07/17/2019,T3,8,0,8,Diptera,,,Culicidae,,01/01/2020,LD,TRUE,
145,0077R,07/17/2019,T3,1,0,1,Hymenoptera,,,Formicidae,,01/01/2020,LD,TRUE,
146,0077R,07/17/2019,T3,4,0,4,Hemiptera,,,Miridae,,01/01/2020,LD,TRUE,
147,0077R,07/17/2019,T3,1,0,1,Diptera,,,Muscidae,,01/01/2020,LD,TRUE,
148,0077R,07/17/2019,T3,24,0,24,Coleoptera,,,Phalacridae,shining flower beetle,01/01/2020,LD,TRUE,
149,0077R,07/17/2019,T3,55,0,55,Thysanoptera,,,Thripidae,,01/01/2020,LD,TRUE,
150,0077R,07/17/2019,T3,1,0,1,Diptera,,,DIPUNK,Unidentifiable,01/03/2020,GW,TRUE,
151,0077R,07/17/2019,T3,122,0,122,Diptera,,,Chloropidae,,01/03/2020,GW,TRUE,
152,0077R,07/17/2019,T3,1,0,1,Diptera,,,Ulidiidae,,01/03/2020,GW,TRUE,
153,0077R,07/17/2019,T3,2,0,2,Hymenoptera,,,HYMUNK,Destroyed,01/04/2020,LD,TRUE,
154,0077R,07/17/2019,T3,0,4,4,Coleoptera,,,COLUNK,,01/04/2020,LD,TRUE,
155,0077R,07/17/2019,T3,0,1,1,Lepidoptera,,,LEPUNK,,01/04/2020,LD,TRUE,
156,0077R,07/17/2019,T3,0,2,2,Hemiptera,,,HEMUNK,,01/04/2020,LD,TRUE,
157,0077R,07/17/2019,T3,1,0,1,Coleoptera,,,Curculionidae,,01/04/2020,LD,TRUE,
158,0077R,07/17/2019,T3,43,0,43,Hymenoptera,,,Eulophidae,,01/04/2020,LD,TRUE,
159,0077R,07/17/2019,T3,3,0,3,Hymenoptera,,,Eurytomidae,,01/04/2020,LD,TRUE,
160,0077R,07/17/2019,T3,1,0,1,Coleoptera,,,Nitidulidae,,01/04/2020,LD,TRUE,
161,0077R,07/17/2019,T3,74,0,74,Hymenoptera,,,Pteromalidae,,01/04/2020,LD,TRUE,
162,0077R,07/17/2019,T3,3,0,3,Diptera,,,Simuliidae,,01/04/2020,LD,TRUE,
163,0077R,07/17/2019,T1,0,1,1,Coleoptera,,,COLUNK,very small and desiccated beetle larva with urogomphi; potentially Phalacridae larvae but not sure,01/10/2020,GB,TRUE,
164,0077R,07/17/2019,T1,2,0,2,Lepidoptera,,,LEPUNK,two small white moths; apparently same species,01/10/2020,GB,TRUE,
165,0077R,07/17/2019,T1,0,2,2,Lepidoptera,,,LEPUNK,too desiccated for ID,01/10/2020,GB,TRUE,
166,0077R,07/17/2019,T1,1,0,1,Hemiptera,Auchenorrhyncha,,Aphrophoridae,,01/10/2020,GB,TRUE,
167,0077R,07/17/2019,T1,0,3,3,Diptera,,,Cecidomyiidae,gall midge larvae; orange color with spatula present,01/10/2020,GB,TRUE,
168,0077R,07/17/2019,T1,26,24,50,Hemiptera,Auchenorrhyncha,,Cicadellidae,,01/10/2020,GB,TRUE,
169,0077R,07/17/2019,T1,1,0,1,Hymenoptera,,,Formicidae,non-winged,01/10/2020,GB,TRUE,
170,0077R,07/17/2019,T1,1,0,1,Hymenoptera,,,Ichneumonidae,,01/10/2020,GB,TRUE,
171,0077R,07/17/2019,T1,5,0,5,Hemiptera,Heteroptera,,Miridae,,01/10/2020,GB,TRUE,
172,0077R,07/17/2019,T1,1,0,1,Hymenoptera,,,Mymaridae,fairy wasp,01/10/2020,GB,TRUE,
173,0077R,07/17/2019,T1,1,1,2,Hemiptera,Heteroptera,,Nabidae,,01/10/2020,GB,TRUE,
174,0077R,07/17/2019,T1,0,1,1,Lepidoptera,,,Noctuidae,,01/10/2020,GB,TRUE,
175,0077R,07/17/2019,T1,5,0,5,Coleoptera,,,Phalacridae,shining flower beetles; ,01/10/2020,GB,TRUE,
176,0077R,07/17/2019,T1,1,0,1,Coleoptera,,,Staphylinidae,,01/10/2020,GB,TRUE,
177,0077R,07/17/2019,T1,0,1,1,Orthoptera,,,Tettigoniidae,likely short-winged meadow katydid,01/10/2020,GB,TRUE,
178,0077R,07/17/2019,T1,21,0,21,Thysanoptera,,,Thripidae,,01/10/2020,GB,TRUE,
179,0077R,07/17/2019,T1,1,0,1,Hymenoptera,,,Braconidae,,01/12/2020,GB,TRUE,
180,0077R,07/17/2019,T1,35,0,35,Diptera,,,Chloropidae,,01/12/2020,GB,TRUE,
181,0077R,07/17/2019,T1,7,0,7,Hymenoptera,,,Eulophidae,,01/12/2020,GB,TRUE,
182,0077R,07/17/2019,T1,118,0,118,Hymenoptera,,,Eupelmidae,,01/12/2020,GB,TRUE,
183,0077R,07/17/2019,T1,13,0,13,Hymenoptera,,,Eurytomidae,,01/12/2020,GB,TRUE,
184,007R5,07/09/2019,T2,0,2,2,Orthoptera,,,ORTUNK,Missing too many characters,11/21/2019,GW,TRUE,
185,007R5,07/09/2019,T2,0,2,2,Orthoptera,,,Acrididae,,11/21/2019,GW,TRUE,
186,007R5,07/09/2019,T2,13,3,16,Hemiptera,,,Cicadellidae,at least 4 apparently different species present,11/21/2019,GW,TRUE,
187,007R5,07/09/2019,T2,24,0,24,Hymenoptera,,,Formicidae,,11/21/2019,GW,TRUE,
188,007R5,07/09/2019,T2,20,0,20,Hemiptera,,,Miridae,,11/21/2019,GW,TRUE,
189,007R5,07/09/2019,T2,1,0,1,Hemiptera,,,Pentatomidae,,11/21/2019,GW,TRUE,
190,007R5,07/09/2019,T2,1,0,1,Diptera,,,Platystomatidae,,11/21/2019,GW,TRUE,
191,007R5,07/09/2019,T2,9,0,9,Diptera,,,Sepsidae,,11/21/2019,GW,TRUE,
192,007R5,07/09/2019,T2,5,0,5,Diptera,,,Tephritidae,,11/21/2019,GW,TRUE,
193,007R5,07/09/2019,T2,0,4,4,Orthoptera,,,Tettigoniidae,,11/21/2019,GW,TRUE,
194,007R5,07/09/2019,T2,2,0,2,Diptera,,,Therevidae,"Adults from the family are uncommon, according to the key",11/21/2019,GW,TRUE,
195,007R5,07/09/2019,T2,0,3,3,Hemiptera,,,Dictyopharidae,long 'snout',11/24/2019,GB,TRUE,
196,007R5,07/09/2019,T2,17,0,17,Hemiptera,,,Psyllidae,"small, green, jumping plant lice",11/24/2019,GB,TRUE,
197,007R5,07/09/2019,T2,2,0,2,Hemiptera,,,Tingidae,"very ornate, white",11/24/2019,GB,TRUE,
198,007R5,07/09/2019,T2,7,0,7,Diptera,,,DIPUNK,Missing too many characters,11/25/2019,GW,TRUE,
199,007R5,07/09/2019,T2,0,1,1,Hymenoptera,Symphyta,,HYMUNK,immature sawfly; too desicated to make family ID,11/25/2019,GB,TRUE,
200,007R5,07/09/2019,T2,0,3,3,Hemiptera,,,HEMUNK,1 black and white with red eyes; all too destroyed to ID,11/25/2019,GB,TRUE,
201,007R5,07/09/2019,T2,2,0,2,Thysanoptera,,,Aeolothripidae,predatory thrips,11/25/2019,GB,TRUE,
202,007R5,07/09/2019,T2,8,0,8,Diptera,,,Chironomidae,,11/25/2019,GW,TRUE,
203,007R5,07/09/2019,T2,45,0,45,Diptera,,,Chloropidae,,11/25/2019,GW,TRUE,
204,007R5,07/09/2019,T2,1,0,1,Neuroptera,,,Chrysopidae,green lacewing,11/25/2019,GB,TRUE,
205,007R5,07/09/2019,T2,17,0,17,Diptera,,,Culicidae,mosquitoes,11/25/2019,GB,TRUE,
206,007R5,07/09/2019,T2,18,0,18,Diptera,,,Lauxaniidae,,11/25/2019,GW,TRUE,
207,007R5,07/09/2019,T2,1,0,1,Thysanoptera,,,Phlaeothripidae,tube tailed thrips; this specimen is bright red except for last few abdominal segments,11/25/2019,GB,TRUE,
208,007R5,07/09/2019,T2,0,1,1,Hemiptera,,,Reduviidae,immature assassin bug,11/25/2019,GB,TRUE,
209,007R5,07/09/2019,T2,2,0,2,Hymenoptera,,,HYMUNK,too destroyed,11/26/2019,LD,TRUE,
210,007R5,07/09/2019,T2,0,7,7,Lepidoptera,,,LEPUNK,too destroyed,11/26/2019,LD,TRUE,
211,007R5,07/09/2019,T2,2,0,2,Hemiptera,,,Aphididae,,11/26/2019,LD,TRUE,
212,007R5,07/09/2019,T2,1,0,1,Hymenoptera,,,Braconidae,,11/26/2019,LD,TRUE,
213,007R5,07/09/2019,T2,2,0,2,Coleoptera,,,Cantharidae,A type of solider beetle with shortened elytra,11/26/2019,LD,TRUE,
214,007R5,07/09/2019,T2,1,0,1,Coleoptera,,,Carabidae,,11/26/2019,LD,TRUE,
215,007R5,07/09/2019,T2,17,1,18,Hemiptera,,,Cercopidae,***most likely incorrecty based on current taxonomy***,11/26/2019,GW,TRUE,
216,007R5,07/09/2019,T2,4,0,4,Coleoptera,,,Chrysomelidae,"Yellow beetles with vertical black stripes, 3 black spots on pronotum",11/26/2019,GW,TRUE,
217,007R5,07/09/2019,T2,2,0,2,Coleoptera,,,Curculionidae,,11/26/2019,GW,TRUE,
218,007R5,07/09/2019,T2,1,0,1,Hymenoptera,,,Diapriidae,,11/26/2019,LD,TRUE,
219,007R5,07/09/2019,T2,3,0,3,Diptera,,,Dolichopodidae,,11/26/2019,GW,TRUE,
220,007R5,07/09/2019,T2,1,0,1,Hymenoptera,,,Dryinidae,"I put this gal in her own vial because she's cool. The larvae parasites plant/leafhopppers, to which there were many in this sample!",11/26/2019,LD,TRUE,
221,007R5,07/09/2019,T2,2,0,2,Hymenoptera,,,Eurytomidae,,11/26/2019,LD,TRUE,
222,007R5,07/09/2019,T2,1,0,1,Diptera,,,Muscidae,,11/26/2019,LD,TRUE,
223,007R5,07/09/2019,T2,1,0,1,Hymenoptera,,,Perilampidae,,11/26/2019,LD,TRUE,
224,007R5,07/09/2019,T2,10,0,10,Hymenoptera,,,Pteromalidae,,11/26/2019,LD,TRUE,
225,007R5,07/09/2019,T2,2,0,2,Hymenoptera,,,Scelionidae,,11/26/2019,LD,TRUE,
226,007R5,07/09/2019,T3,0,1,1,Coleoptera,,,COLUNK,very small and desiccated immature beetle; pair of urogomphi present; not scarabaeiform,01/09/2020,GB,TRUE,
227,007R5,07/09/2019,T3,0,1,1,Hemiptera,Heteroptera,,HEMUNK,small and desiccated true bug;,01/09/2020,GB,TRUE,
228,007R5,07/09/2019,T3,1,0,1,Diptera,,,DIPUNK,wings and legs almost completely destroyed; likely in acalypterate muscoid group,01/09/2020,GB,TRUE,
229,007R5,07/09/2019,T3,0,1,1,Orthoptera,,,Acrididae,,01/09/2020,LD,TRUE,
230,007R5,07/09/2019,T3,0,1,1,Hemiptera,,,Aphididae,,01/09/2020,LD,TRUE,
